Lucas Codd,Greyjoy,,,,11,1,1,0,0,0,1,0
Lucias Vypren,None,,,,49,1,1,0,0,1,0,0
Luco Prestayn,None,,,,22,1,0,0,0,0,1,0
Luke of Longtown,Night's Watch,,,,35,1,0,0,0,0,0,1
Luton,None,300,5,51,37,1,0,0,0,0,0,1
Luwin,House Stark,299,2,69,14,1,0,1,1,0,0,0
Lyle Crakehall,Lannister,,,,12,1,1,0,0,0,1,0
Lyman Darry,Tully,299,3,7,71,1,1,1,1,0,0,0
Lymond Goodbrook,Tully,,,,45,1,1,0,0,1,0,0
Lymond Lychester,Tully,,,,22,1,1,0,0,1,0,0
Lyn Corbray,Arryn,,,,38,1,1,1,0,0,1,0
Lyonel,None,,,,38,1,0,0,1,0,0,0
Lysa Tully,House Arryn,300,3,,34,0,1,1,0,1,0,0
Lysono Maar,None,,,,24,1,0,0,0,0,0,1
Mace Tyrell,House Tyrell,,,,62,1,1,0,1,1,1,1
Mad Huntsman,None,,,,29,1,0,0,0,1,0,0
Maege Mormont,Stark,,,,53,0,1,1,0,1,0,0
Maerie (Goodwife),None,299,3,34,34,0,0,0,0,1,0,0
Maerie (Whore),None,299,3,34,34,0,0,0,0,1,0,0
Mag Mar Tun Doh Weg,Wildling,300,3,64,15,1,1,0,0,1,0,0
Mago,None,,,,61,1,0,1,0,0,0,0
Mallador Locke,Night's Watch,299,5,18,13,1,0,0,1,1,0,0
Malliard,Lannister,,,,20,1,0,0,1,0,0,0
Mallor,House Lannister,,,,63,1,0,1,0,0,0,0
Mance Rayder,Wildling,,,,15,1,1,0,0,1,0,1
Mandon Moore,Baratheon,299,2,61,51,1,1,1,1,0,0,0
Maric Seaworth,House Baratheon,299,2,58,10,1,1,0,1,0,0,0
Marei,None,,,,29,0,0,0,1,0,0,0
Margaery Tyrell,House Tyrell,,,,22,0,1,0,1,1,1,0
Marillion,Arryn,300,4,23,28,1,0,1,0,1,1,0
Maris,Wildling,,,,58,0,0,0,0,0,0,1
Marissa Frey,None,,,,49,0,1,0,0,1,1,0
Mariya Darry,None,,,,30,0,1,0,0,0,1,0
Mark Mullendore,Tully,,,,22,1,1,0,1,0,0,0
Marlon Manderly,Stark,,,,19,1,1,0,0,0,0,1
Maron Volmark,Greyjoy,,,,18,1,1,0,0,0,1,0
Marq Piper,Tully,,,,56,1,1,1,0,1,0,0
Martyn Rivers,None,,,,29,1,1,1,1,1,0,0
Marwyn,None,,,,0,1,0,0,0,0,1,0
Marwyn Belmore,Arryn,,,,10,1,1,0,0,0,1,0
Masha Heddle,Tully,298,1,56,28,0,0,1,0,0,0,0
Maslyn,Night's Watch,299,3,18,0,1,0,0,0,1,0,0
Mathis Rowan,Lannister,,,,22,1,1,0,1,1,1,0
Mathos Mallarawan,None,,,,40,1,1,0,1,0,0,0
Matrice,Baratheon,,,,0,0,0,0,1,0,0,0
Matthos Seaworth,Baratheon,299,2,58,10,1,1,0,1,0,0,0
Matthar,Night's Watch,,,,41,1,0,1,0,0,0,0
Mawney,Night's Watch,300,5,4,18,1,0,0,0,1,0,1
Mebble,None,,,,47,1,0,0,1,0,0,0
Medger Cerwyn,Stark,299,2,30,53,1,1,1,1,0,0,0
Meera Reed,Stark,,,,21,0,1,0,1,1,0,1
Megga Tyrell,House Tyrell,,,,6,0,1,0,0,1,1,0
Meha,Wildling,,,,0,0,0,0,0,0,0,1
Mela,House Arryn,,,,23,0,0,0,0,0,1,0
Meldred Merlyn,Greyjoy,,,,1,1,1,0,0,0,1,0
Meliana,Stark,,,,69,0,0,0,0,1,0,0
Melisandre,Baratheon,,,,0,0,0,0,1,1,0,1
Mellei,House Martell,,,,40,0,0,0,0,0,1,0
Melly,None,,,,34,0,0,0,0,1,0,0
Meredyth Crane,Tyrell,,,,61,0,1,0,0,1,1,0
Meribald,None,,,,25,1,0,0,0,0,1,0
Merlon Crakehall,Lannister,,,,38,1,1,0,0,1,0,0
Mero,None,299,3,57,42,1,0,0,0,1,0,0
Merrett Frey,None,300,3,,59,1,1,1,0,1,0,0
Meryn Trant,Lannister,,,,8,1,1,1,1,1,1,1
Mezzara,None,,,,2,0,1,0,0,0,0,1
Mikken,House Stark,299,2,46,8,1,0,1,1,0,0,0
Miklaz,None,,,,2,1,1,0,0,0,0,1
Mirri Maz Duur,None,299,1,72,61,0,0,1,0,0,0,0
Missandei,House Targaryen,,,,23,0,0,0,0,1,0,1
Mohor,None,298,1,31,31,1,1,1,0,0,0,0
Mollander,None,,,,0,1,0,0,0,0,1,0
Monford Velaryon,Baratheon,299,3,25,0,1,1,0,1,0,0,0
Monster,Wildling,,,,33,1,0,0,0,1,1,1
Moon Boy,Baratheon,,,,29,1,0,1,1,1,1,0
Moqorro,Greyjoy,,,,33,1,0,0,0,0,0,1
Mord,House Arryn,,,,38,1,0,1,0,0,1,0
Mordane,House Stark,298,1,67,7,0,0,1,0,0,0,0
Moreo Tumitis,None,,,,18,1,0,1,0,0,0,0
Morgarth,None,,,,41,1,0,0,0,0,1,0
Morna White Mask,Wildling,,,,48,0,1,0,0,0,0,1
Moro,None,,,,3,1,1,1,0,0,0,0
Morra,House Martell,,,,40,0,0,0,0,0,1,0
Morrec,House Lannister,298,1,31,13,1,0,1,0,0,0,0
