Name,Allegiances,DeathYear
Addam Marbrand,Lannister,-1
Adrack Humble,House Greyjoy,300
Aegon Frey (Jinglebell),None,299
Aegon Targaryen,House Targaryen,-1
Aemon Costayne,Lannister,-1
Aemon Estermont,Baratheon,-1
Aemon Targaryen (son of Maekar I),Night's Watch,300
Aenys Frey,None,300
Aeron Greyjoy,House Greyjoy,-1
Aethan,Night's Watch,-1
Aggar,House Greyjoy,299
Aggo,House Targaryen,-1
Alan of Rosby,Night's Watch,300
Alayaya,None,-1
Albar Royce,Arryn,-1
Albett,Night's Watch,-1
Alebelly,House Stark,299
Alerie Hightower,House Tyrell,-1
Alesander Staedmon,Baratheon,-1
Alester Florent,Baratheon,300
Alia of Braavos,None,-1
Alla Tyrell,House Tyrell,-1
Allard Seaworth,Baratheon,299
Alliser Thorne,Night's Watch,-1
Alyn,House Stark,298
Alyn Ambrose,Tyrell,-1
Alyn Estermont,Baratheon,-1
Alyn Stackspear,Lannister,-1
Alys Karstark,Stark,-1
Alysane Mormont,Stark,-1
Alyx Frey,None,-1
Ambrode,Greyjoy,-1
Amory Lorch,House Lannister,299
Andar Royce,Arryn,-1
Andrew Estermont,Baratheon,-1
Andrey Dalt,Martell,-1
Andrik,Greyjoy,-1
Anguy,None,-1
Antario Jast,Lannister,-1
Anvil Ryn,None,299
Anya Waynwood,Arryn,-1
Archibald Yronwood,Martell,-1
Ardrian Celtigar,Baratheon,-1
Areo Hotah,House Martell,-1
Arianne Martell,House Martell,-1
Arneld,Lannister,-1
Arnolf Karstark,Stark,-1
Aron Santagar,Lannister,299
Arron,Night's Watch,-1
Arron Qorgyle,Martell,-1
Arryk (Guard),House Tyrell,-1
Arson,Wildling,-1
Arthor Karstark,Stark,-1
Arwyn Frey,None,-1
Arwyn Oakheart,Tyrell,-1
Arya Stark,Stark,-1
Arys Oakheart,Lannister,300
Asha Greyjoy,House Greyjoy,-1
Aurane Waters,Lannister,-1
Axell Florent,Baratheon,-1
Azzak,None,-1
Ballabar,Lannister,-1
Balon Swann,Lannister,-1
Bannen,Night's Watch,299
Barbrey Dustin,Stark,-1
Barra,None,299
Barristan Selmy,Targaryen,-1
Barsena,None,300
Barth (brewer),House Stark,-1
Bass,Night's Watch,-1
Bayard Norcross,Tyrell,-1
Bearded Ben,Night's Watch,-1
Becca,House Arryn,-1
Becca the Baker,None,299
Bedwyck,Night's Watch,-1
Belaquo,None,-1
Bella,None,-1
Bellegere Otherys (courtesan),None,-1
Bellonara Otherys,None,-1
Belwas,House Targaryen,-1
Ben,None,-1
Ben Bones,None,-1
Ben Plumm,None,-1
Benedar Belmore,Arryn,-1
Benfred Tallhart,Stark,299
Benfrey Frey,None,299
Benjen Stark,Night's Watch,298
Bennet,None,300
Beric Dondarrion,None,300
Bessa (Winterfell),Stark,-1
Beth Cassel,Stark,-1
Bhakaz zo Loraq,None,-1
Big Boil,Wildling,-1
Big Walder Frey,None,-1
Biter,None,300
Black Bernarr,Night's Watch,-1
Black Walder Frey,None,-1
Blane,Night's Watch,-1
Bloodbeard,None,-1
Blue Bard,House Tyrell,-1
Bonifer Hasty,Lannister,-1
Borcas,Night's Watch,-1
Boremund Harlaw,Greyjoy,-1
Boros Blount,Baratheon,-1
Borroq,Wildling,-1
Bowen Marsh,Night's Watch,-1
Bran Stark,House Stark,-1
Brandon Norrey,Stark,-1
Brenett,None,-1
Brienne of Tarth,Stark,-1
Bronn,Lannister,-1
Brown Bernarr,Night's Watch,299
Brusco,None,-1
Bryan Fossoway,Baratheon,299
Bryce Caron,Baratheon,299
Bryen,None,-1
Bryen Farring,Baratheon,300
Brynden Rivers,House Targaryen,-1
